iter	Logloss
0	0.6862005673
1	0.678324985
2	0.6707956361
3	0.6633838676
4	0.6565360564
5	0.6497824947
6	0.6429021494
7	0.6365233467
8	0.6303538749
9	0.6242120416
10	0.6186123185
11	0.6129991697
12	0.6082043082
13	0.6032089935
14	0.5980423814
15	0.5929449391
16	0.5876644201
17	0.5824018689
18	0.5779151358
19	0.5730376801
20	0.568180861
21	0.563733843
22	0.5594499844
23	0.5553816997
24	0.5516520098
25	0.5475541225
26	0.5438076324
27	0.5400845889
28	0.5364487938
29	0.5326486841
30	0.5294064764
31	0.5257582466
32	0.5226197829
33	0.5195127697
34	0.516019839
35	0.513006589
36	0.5100842803
37	0.5072367304
38	0.5042362843
39	0.501155335
40	0.4992325824
41	0.4963801482
42	0.4939143615
43	0.4915806749
44	0.4887599405
45	0.4862298984
46	0.4842929765
47	0.4819855218
48	0.4798683332
49	0.4776179735
50	0.4757727281
51	0.473434396
52	0.4713590038
53	0.4693416164
54	0.4674224827
55	0.4654953746
56	0.4634192491
57	0.461753732
58	0.4599586648
59	0.4583189186
60	0.4567596971
61	0.4551998128
62	0.4535059321
63	0.4521976372
64	0.4504156582
65	0.4487644915
66	0.4473105014
67	0.4456311227
68	0.4440732221
69	0.4426842984
70	0.4410794507
71	0.4399033307
72	0.4387463196
73	0.4372138504
74	0.4360000923
75	0.4348082247
76	0.4336310289
77	0.4323903735
78	0.4311799904
79	0.4299757444
80	0.4287635372
81	0.427931822
82	0.4269291519
83	0.4259670739
84	0.4249788785
85	0.4238264619
86	0.4229510359
87	0.4218891285
88	0.4210928717
89	0.4202802579
90	0.4194226486
91	0.4187195884
92	0.4179025667
93	0.4171472119
94	0.4162216672
95	0.4154659366
96	0.4147520384
97	0.4137781996
98	0.4130625104
99	0.4122851693
100	0.4117314143
101	0.4111445552
102	0.4103145579
103	0.4096014735
104	0.4088254242
105	0.4081603178
106	0.4075123549
107	0.4069721492
108	0.4063892548
109	0.405732704
110	0.4051492239
111	0.4046497573
112	0.4041763808
113	0.403646281
114	0.4029638818
115	0.4024730308
116	0.4020114986
117	0.4014860378
118	0.4009568699
119	0.4004665121
120	0.399884597
121	0.3993914033
122	0.3988638857
123	0.398453278
124	0.3980239794
125	0.3975688474
126	0.3971109244
127	0.3966225806
128	0.3962390303
129	0.3957393223
130	0.3951987225
131	0.3948554129
132	0.3944634665
133	0.3940812198
134	0.3935455798
135	0.3931501448
136	0.3926657225
137	0.3923064051
138	0.3919812496
139	0.3915061476
140	0.391177236
141	0.3908177414
142	0.3904822637
143	0.3901402409
144	0.3898051639
145	0.3895068859
146	0.3891415962
147	0.3887495605
148	0.3884634779
149	0.3880874869
150	0.387838545
151	0.3874390376
152	0.3871244604
153	0.3867999998
154	0.386485261
155	0.3862802494
156	0.3860325559
157	0.3857514759
158	0.3854277104
159	0.3852061415
160	0.3849858764
161	0.3847345349
162	0.3844409699
163	0.3842082901
164	0.3839924896
165	0.3836380886
166	0.3834489318
167	0.3831423744
168	0.382863121
169	0.3825829635
170	0.3823691202
171	0.3820865904
172	0.3818089461
173	0.3815763201
174	0.3813310118
175	0.3812375097
176	0.3809856527
177	0.3808166184
178	0.380557854
179	0.3804110146
180	0.3801208911
181	0.3799101984
182	0.3796335534
183	0.3794049302
184	0.3791555199
185	0.3789169312
186	0.3786927752
187	0.37856083
188	0.3783406251
189	0.3781026855
190	0.3778442629
191	0.3777072843
192	0.3775823382
193	0.3774393637
194	0.3772464101
195	0.3770197628
196	0.3768168542
197	0.3766434063
198	0.3764324412
199	0.3762574713
200	0.376039261
201	0.3758481585
202	0.3757085807
203	0.3755579149
204	0.3754822108
205	0.3753182668
206	0.3751320234
207	0.3749923984
208	0.3748779804
209	0.374749603
210	0.3745719479
211	0.3744721898
212	0.3743319805
213	0.3741723659
214	0.3739834649
215	0.3737834536
216	0.3735598632
217	0.3733482587
218	0.3732287821
219	0.3730685176
220	0.3729427707
221	0.3728129742
222	0.3726705259
223	0.3725125046
224	0.3723274695
225	0.3721592715
226	0.3719918429
227	0.3718816425
228	0.3718149565
229	0.3716320033
230	0.3714942244
231	0.3713187984
232	0.3712004838
233	0.3711270618
234	0.370930884
235	0.3707458848
236	0.3706130638
237	0.3704741113
238	0.3704249846
239	0.3702592279
240	0.3701627637
241	0.3700558123
242	0.3699990259
243	0.3698678163
244	0.3697579912
245	0.3696312711
246	0.3694723925
247	0.3693601266
248	0.3692597922
249	0.3691294834
250	0.368996584
251	0.368924121
252	0.3687635615
253	0.3686302572
254	0.3686045926
255	0.3684365069
256	0.3683613076
257	0.3681611974
258	0.3680222602
259	0.3678902703
260	0.3678068626
261	0.367760191
262	0.3676312028
263	0.3675090489
264	0.3674170041
265	0.3672855304
266	0.3671792057
267	0.3670372875
268	0.3668941689
269	0.3668392499
270	0.3667619633
271	0.3666288386
272	0.3665208272
273	0.3664517562
274	0.3664037657
275	0.3662831205
276	0.366114464
277	0.3660345461
278	0.365932602
279	0.3658734732
280	0.3657992659
281	0.3657164415
282	0.3655975049
283	0.3655532787
284	0.3654268477
285	0.3652534651
286	0.3651595391
287	0.3650490498
288	0.3649297086
289	0.3648266262
290	0.3647209133
291	0.3645818854
292	0.3644973959
293	0.364353519
