iter	Passed	Remaining
0	26	73383
1	33	45572
2	39	36107
3	45	31578
4	52	28805
5	58	26975
6	65	25685
7	71	24694
8	78	23887
9	84	23297
10	91	22790
11	98	22401
12	104	22012
13	110	21727
14	117	21445
15	124	21227
16	130	20993
17	136	20808
18	143	20606
19	149	20431
20	156	20317
21	162	20195
22	169	20109
23	175	20001
24	182	19891
25	188	19813
26	195	19744
27	201	19665
28	208	19578
29	214	19525
30	221	19476
31	227	19383
32	234	19329
33	240	19275
34	247	19204
35	253	19160
36	260	19119
37	266	19056
38	273	19013
39	279	18977
40	286	18953
41	292	18912
42	299	18880
43	305	18833
44	312	18802
45	318	18768
46	325	18726
47	331	18700
48	338	18667
49	344	18629
50	350	18604
51	357	18575
52	363	18540
53	369	18506
54	376	18487
55	382	18455
56	389	18437
57	396	18414
58	402	18383
59	408	18363
60	415	18339
61	421	18319
62	428	18302
63	435	18295
64	441	18279
65	448	18270
66	455	18256
67	461	18240
68	468	18219
69	473	18168
70	480	18153
71	485	18108
72	492	18091
73	498	18071
74	505	18060
75	511	18034
76	517	18007
77	524	17997
78	530	17980
79	537	17972
80	544	17961
81	550	17947
82	557	17937
83	562	17897
84	569	17884
85	574	17842
86	581	17834
87	587	17808
88	594	17798
89	600	17780
90	607	17774
91	613	17770
92	619	17732
93	625	17720
94	632	17707
95	639	17701
96	645	17689
97	652	17679
98	658	17669
99	665	17660
100	671	17651
101	678	17637
102	684	17631
103	691	17617
104	697	17602
105	704	17593
106	710	17578
107	716	17572
108	723	17563
109	732	17605
110	741	17658
111	747	17647
112	754	17645
113	761	17642
114	767	17630
115	774	17613
116	780	17598
117	786	17586
118	793	17583
119	800	17578
120	807	17576
121	813	17562
122	820	17558
123	826	17539
124	833	17532
125	839	17523
126	846	17510
127	852	17497
128	859	17490
129	865	17481
130	872	17473
131	878	17465
132	885	17457
133	892	17449
134	898	17442
135	905	17438
136	912	17434
137	918	17426
138	925	17417
139	932	17408
140	938	17401
141	945	17393
142	952	17389
143	958	17384
144	964	17363
145	971	17354
146	977	17346
147	984	17339
148	991	17333
149	997	17319
150	1004	17325
151	1011	17316
152	1017	17306
153	1023	17294
154	1030	17285
155	1037	17277
156	1043	17267
157	1050	17260
158	1056	17251
159	1063	17243
160	1069	17237
161	1076	17224
162	1082	17215
163	1088	17204
164	1095	17196
165	1102	17188
166	1108	17181
167	1115	17176
168	1122	17174
169	1128	17164
170	1135	17152
171	1142	17151
172	1148	17139
173	1155	17134
174	1161	17130
175	1168	17119
176	1174	17109
177	1181	17103
178	1187	17093
179	1194	17085
180	1200	17079
181	1207	17075
182	1214	17063
183	1220	17054
184	1227	17048
185	1233	17040
186	1240	17037
187	1246	17026
188	1253	17017
189	1259	17009
190	1266	17003
191	1273	16995
192	1279	16989
193	1286	16978
194	1292	16969
195	1298	16959
196	1305	16950
197	1311	16942
198	1318	16935
199	1325	16929
200	1331	16922
201	1338	16913
202	1344	16904
203	1351	16894
204	1358	16894
205	1364	16884
206	1371	16878
207	1377	16869
208	1384	16859
209	1390	16854
210	1397	16846
211	1403	16839
212	1410	16833
213	1417	16827
214	1424	16825
215	1430	16816
216	1437	16809
217	1443	16801
218	1450	16793
219	1456	16783
220	1463	16777
221	1469	16769
222	1476	16759
223	1482	16750
224	1488	16741
225	1495	16734
226	1502	16727
227	1508	16723
228	1515	16713
229	1521	16705
230	1528	16699
231	1534	16689
232	1541	16682
233	1547	16674
234	1554	16666
235	1560	16657
236	1567	16651
237	1574	16646
238	1580	16638
239	1587	16635
240	1593	16627
241	1600	16617
242	1607	16613
243	1614	16609
244	1620	16601
245	1627	16598
246	1633	16590
247	1640	16583
248	1647	16576
249	1653	16569
250	1660	16560
251	1666	16553
252	1672	16543
253	1679	16537
254	1686	16531
255	1692	16526
256	1699	16517
257	1705	16507
258	1712	16502
259	1719	16496
260	1725	16488
261	1731	16480
262	1738	16470
263	1744	16464
264	1751	16456
265	1757	16448
266	1764	16442
267	1770	16434
268	1777	16428
269	1784	16422
270	1790	16413
271	1797	16408
272	1803	16399
273	1810	16390
274	1816	16382
275	1823	16374
276	1829	16365
277	1835	16357
278	1842	16349
279	1848	16341
280	1855	16335
281	1862	16330
282	1868	16321
283	1874	16313
284	1881	16302
285	1887	16297
286	1894	16290
287	1901	16284
288	1907	16274
289	1913	16265
290	1919	16257
291	1926	16248
292	1932	16241
293	1939	16231
294	1945	16225
295	1952	16219
296	1958	16209
297	1964	16200
298	1971	16194
299	1975	16168
300	1982	16163
301	1989	16157
302	1995	16151
303	2002	16144
304	2008	16134
305	2015	16127
306	2021	16122
307	2028	16114
308	2034	16103
309	2040	16096
310	2047	16086
311	2053	16082
312	2060	16072
313	2066	16062
314	2072	16055
315	2079	16048
316	2085	16042
317	2092	16034
318	2098	16028
319	2105	16022
320	2112	16014
321	2118	16005
322	2124	15997
323	2131	15991
324	2138	15985
325	2144	15978
326	2150	15970
327	2157	15964
328	2163	15956
329	2170	15949
330	2176	15941
331	2183	15933
332	2189	15925
333	2196	15919
334	2203	15914
335	2209	15909
336	2216	15900
337	2222	15891
338	2228	15884
339	2235	15879
340	2242	15871
341	2248	15865
342	2255	15859
343	2261	15850
344	2268	15843
345	2274	15836
346	2280	15827
347	2287	15821
348	2293	15814
349	2300	15807
350	2307	15801
351	2313	15795
352	2320	15790
353	2326	15782
354	2333	15774
355	2339	15767
356	2346	15759
357	2352	15751
358	2358	15743
359	2365	15737
360	2372	15731
361	2378	15724
362	2385	15716
363	2391	15708
364	2398	15702
365	2404	15696
366	2411	15689
367	2417	15681
368	2424	15675
369	2430	15668
370	2437	15661
371	2443	15655
372	2450	15647
373	2457	15642
374	2463	15634
375	2469	15627
376	2476	15621
377	2483	15614
378	2489	15608
379	2496	15602
380	2502	15596
381	2509	15587
382	2515	15581
383	2522	15572
384	2528	15566
385	2535	15559
386	2541	15552
387	2548	15544
388	2554	15537
389	2561	15532
390	2567	15524
391	2574	15517
392	2580	15511
393	2587	15504
394	2593	15496
395	2600	15491
396	2607	15484
397	2613	15476
398	2619	15468
399	2626	15463
400	2633	15457
401	2639	15448
402	2646	15444
403	2652	15436
404	2659	15429
405	2665	15422
406	2671	15414
407	2678	15406
408	2685	15401
409	2691	15394
410	2698	15388
411	2705	15383
412	2711	15376
413	2718	15370
414	2724	15364
415	2731	15357
416	2737	15350
417	2744	15342
418	2750	15335
419	2757	15328
420	2763	15321
421	2770	15316
422	2776	15308
423	2783	15302
424	2789	15294
425	2796	15288
426	2802	15281
427	2809	15275
428	2815	15268
429	2822	15260
430	2829	15255
431	2835	15248
432	2841	15239
433	2848	15232
434	2854	15226
435	2861	15219
436	2867	15212
437	2874	15206
438	2880	15198
439	2887	15191
440	2893	15183
441	2900	15177
442	2906	15170
443	2913	15162
444	2919	15156
445	2926	15149
446	2932	15143
447	2939	15135
448	2946	15131
449	2952	15123
450	2959	15116
451	2965	15111
452	2972	15104
453	2978	15098
454	2985	15092
455	2992	15085
456	2998	15079
457	3005	15072
458	3011	15064
459	3018	15058
460	3024	15051
461	3030	15043
462	3037	15037
463	3044	15032
464	3051	15026
465	3057	15019
466	3064	15013
467	3070	15005
468	3077	14998
469	3083	14989
470	3089	14981
471	3095	14974
472	3102	14967
473	3108	14960
474	3115	14952
475	3121	14945
476	3128	14938
477	3134	14931
478	3141	14925
479	3147	14917
480	3153	14909
481	3160	14903
482	3166	14895
483	3172	14887
484	3179	14879
485	3186	14875
486	3192	14867
487	3198	14859
488	3205	14852
489	3212	14848
490	3218	14840
491	3225	14835
492	3232	14829
493	3238	14821
494	3244	14814
495	3251	14808
496	3257	14801
497	3264	14793
498	3270	14785
499	3276	14778
500	3283	14771
501	3289	14764
502	3296	14758
503	3302	14750
504	3309	14744
505	3315	14736
506	3322	14729
507	3328	14723
508	3334	14715
509	3341	14708
510	3347	14701
511	3354	14694
512	3361	14688
513	3367	14683
514	3373	14674
515	3380	14670
516	3387	14663
517	3393	14656
518	3400	14649
519	3406	14642
520	3413	14635
521	3419	14629
522	3426	14624
523	3432	14616
524	3439	14609
525	3445	14601
526	3451	14593
527	3458	14586
528	3464	14579
529	3471	14573
530	3477	14566
531	3484	14559
532	3490	14551
533	3497	14545
534	3503	14537
535	3510	14531
536	3517	14526
537	3523	14521
538	3530	14515
539	3536	14507
540	3543	14499
541	3549	14491
542	3555	14485
543	3562	14478
544	3568	14471
545	3575	14465
546	3581	14458
547	3588	14451
548	3594	14444
549	3601	14437
550	3607	14431
551	3614	14423
552	3620	14417
553	3626	14409
554	3633	14404
555	3640	14396
556	3646	14389
557	3652	14380
558	3658	14374
559	3665	14366
560	3671	14359
561	3677	14352
562	3684	14347
563	3691	14341
564	3698	14335
565	3704	14328
566	3711	14323
567	3718	14315
568	3724	14310
569	3731	14302
570	3737	14297
571	3744	14290
572	3750	14283
573	3757	14277
574	3764	14272
575	3771	14265
576	3777	14259
577	3784	14254
578	3791	14247
579	3797	14240
580	3803	14233
581	3810	14227
582	3816	14219
583	3823	14213
584	3830	14207
585	3836	14200
586	3843	14193
587	3849	14187
588	3856	14181
589	3862	14174
590	3869	14167
591	3875	14161
592	3882	14154
593	3888	14147
594	3895	14140
595	3899	14125
596	3906	14119
597	3912	14112
598	3918	14104
599	3925	14097
600	3931	14090
601	3938	14084
602	3944	14078
603	3951	14072
604	3957	14065
605	3964	14058
606	3970	14050
607	3977	14045
608	3983	14038
609	3990	14031
610	3996	14025
611	4003	14018
612	4009	14009
613	4015	14002
614	4022	13996
615	4028	13988
616	4035	13982
617	4041	13975
618	4048	13969
619	4054	13962
620	4061	13955
621	4067	13949
622	4074	13942
623	4080	13936
624	4087	13929
625	4093	13922
626	4100	13916
627	4106	13908
628	4113	13902
629	4119	13894
630	4126	13889
631	4132	13882
632	4139	13877
633	4146	13871
634	4152	13863
635	4158	13856
636	4165	13850
637	4172	13843
638	4178	13836
639	4184	13828
640	4190	13821
641	4197	13814
642	4203	13807
643	4210	13800
644	4216	13794
645	4223	13787
646	4229	13780
647	4236	13773
648	4242	13767
649	4249	13760
650	4255	13753
651	4261	13746
652	4268	13740
653	4275	13734
654	4281	13728
655	4288	13720
656	4294	13714
657	4301	13707
658	4308	13701
659	4314	13695
660	4321	13689
661	4327	13682
662	4333	13675
663	4340	13669
664	4347	13662
665	4353	13654
666	4360	13648
667	4366	13642
668	4372	13634
669	4379	13628
670	4386	13622
671	4392	13615
672	4399	13610
673	4405	13603
674	4412	13597
675	4418	13590
676	4425	13583
677	4431	13576
